learning_rate,0.1,training_epoch,6,batch_size,100,display_step,20,conv1_kernel_num,32,conv2_kernel_num,32,fc1_units_num,192,fc2_units_num,96
train_step,train_loss,train_step,train_accuracy
20,2.300011,20,0.13
40,2.2908747,40,0.14
60,2.2527132,60,0.2
80,2.165838,80,0.23
100,2.0921938,100,0.21
120,2.0837362,120,0.28
140,2.0144358,140,0.27
160,2.0640001,160,0.31
180,1.9657693,180,0.3
200,1.8739805,200,0.35
220,1.923486,220,0.32
240,1.8952034,240,0.37
260,1.901721,260,0.34
280,1.8605206,280,0.36
300,1.8277574,300,0.34
320,1.8726106,320,0.36
340,1.7550431,340,0.41
360,1.641047,360,0.48
380,1.6788268,380,0.43
400,1.7828338,400,0.4
420,1.8440034,420,0.43
440,1.5957551,440,0.55
460,1.70052,460,0.45
480,1.5234299,480,0.53
500,1.5903152,500,0.5
520,1.7294327,520,0.42
540,1.5027382,540,0.55
560,1.7586715,560,0.37
580,1.8147454,580,0.37
600,1.7625954,600,0.49
620,1.806571,620,0.41
640,1.6154938,640,0.48
660,1.6147029,660,0.48
680,1.5410956,680,0.53
700,1.4716448,700,0.55
720,1.6153216,720,0.43
740,1.6958385,740,0.43
760,1.5274864,760,0.58
780,1.5833359,780,0.44
800,1.58284,800,0.53
820,1.8126396,820,0.47
840,1.5197788,840,0.51
860,1.6259563,860,0.56
880,1.4072714,880,0.58
900,1.6191577,900,0.45
920,1.8109269,920,0.42
940,1.5699353,940,0.55
960,1.6364083,960,0.54
980,1.5496958,980,0.58
1000,1.4656025,1000,0.58
1020,1.5661416,1020,0.49
1040,1.5450479,1040,0.58
1060,1.4453723,1060,0.64
1080,1.4970375,1080,0.6
1100,1.4486253,1100,0.54
1120,1.3501779,1120,0.6
1140,1.3047562,1140,0.6
1160,1.367802,1160,0.65
1180,1.399547,1180,0.58
1200,1.4192151,1200,0.58
1220,1.4066135,1220,0.61
1240,1.580703,1240,0.52
1260,1.4236554,1260,0.59
1280,1.4720182,1280,0.54
1300,1.2714278,1300,0.67
1320,1.4050314,1320,0.53
1340,1.3979617,1340,0.62
1360,1.3788394,1360,0.67
1380,1.4915783,1380,0.53
1400,1.3777384,1400,0.57
1420,1.335283,1420,0.7
1440,1.2499925,1440,0.71
1460,1.3125612,1460,0.6
1480,1.3770257,1480,0.57
1500,1.3621255,1500,0.56
1520,1.3776886,1520,0.59
1540,1.2066336,1540,0.67
1560,1.5592287,1560,0.61
1580,1.6175541,1580,0.54
1600,1.5468936,1600,0.58
1620,1.3904735,1620,0.63
1640,1.4360328,1640,0.54
1660,1.2644218,1660,0.64
1680,1.4250995,1680,0.56
1700,1.3174514,1700,0.65
1720,1.385383,1720,0.56
1740,1.3322278,1740,0.69
1760,1.3602611,1760,0.62
1780,1.3126355,1780,0.64
1800,1.5169423,1800,0.58
1820,1.3568033,1820,0.62
1840,1.4656101,1840,0.63
1860,1.2594756,1860,0.66
1880,1.1696008,1880,0.67
1900,1.398637,1900,0.66
1920,1.1254762,1920,0.72
1940,1.1606567,1940,0.7
1960,1.207842,1960,0.68
1980,1.3087796,1980,0.66
2000,1.2518507,2000,0.64
2020,1.2827857,2020,0.65
2040,1.2674924,2040,0.68
2060,1.532318,2060,0.64
2080,1.2974325,2080,0.65
2100,1.3485417,2100,0.72
2120,1.2360053,2120,0.7
2140,1.1837955,2140,0.68
2160,1.1836414,2160,0.67
2180,1.3927634,2180,0.69
2200,1.2545351,2200,0.66
2220,1.1652551,2220,0.72
2240,1.2942134,2240,0.69
2260,1.2867444,2260,0.68
2280,0.98925763,2280,0.78
2300,1.2051847,2300,0.68
2320,1.294861,2320,0.6
2340,1.2721994,2340,0.64
2360,1.2313777,2360,0.71
2380,1.2526059,2380,0.66
2400,1.2399898,2400,0.72
2420,1.4043872,2420,0.68
2440,1.1436474,2440,0.68
2460,1.3762469,2460,0.63
2480,1.2937683,2480,0.66
2500,1.1999485,2500,0.65
2520,1.2021325,2520,0.68
2540,1.1633044,2540,0.73
2560,1.3183055,2560,0.66
2580,1.3296895,2580,0.6
2600,1.468965,2600,0.64
2620,1.1940689,2620,0.68
2640,1.1125925,2640,0.73
2660,0.9372078,2660,0.79
2680,1.129258,2680,0.73
2700,1.1912972,2700,0.68
2720,1.2209709,2720,0.69
2740,1.3749608,2740,0.66
2760,1.4192932,2760,0.64
2780,1.1140537,2780,0.75
2800,1.1642412,2800,0.66
2820,1.1368195,2820,0.76
2840,1.2397944,2840,0.73
2860,1.0544828,2860,0.77
2880,1.3421997,2880,0.69
2900,1.0886616,2900,0.7
2920,1.0571886,2920,0.7
2940,1.1479278,2940,0.76
2960,1.2521312,2960,0.69
2980,1.2191299,2980,0.72
3000,1.041548,3000,0.75
Accuracy on Test Example:,0.6359
